Sector,Year,Region,11 ABM MALE,11 ABM FEMALE,11 HUMMS MALE,11 HUMMS FEMALE,11 STEM MALE,11 STEM FEMALE,11 GAS MALE,11 GAS FEMALE,11 MARITIME MALE,11 MARITIME FEMALE,11 TVL MALE,11 TVL FEMALE,11 SPORTS MALE,11 SPORTS FEMALE,11 ARTS&DESIGN MALE,11 ARTS&DESIGN FEMALE,12 ABM MALE,12 ABM FEMALE,12 HUMMS MALE,12 HUMMS FEMALE,12 STEM MALE,12 STEM FEMALE,12 GAS MALE,12 GAS FEMALE,12 MARITIME MALE,12 MARITIME FEMALE,12 TVL MALE,12 TVL FEMALE,12 SPORTS MALE,12 SPORTS FEMALE,12 ARTS&DESIGN MALE,12 ARTS&DESIGN FEMALE
PUBLIC,2019 - 2020,Region IX - Zamboanga Peninsula,570,1652,2818,5055,990,1548,1357,1856,0,0,12109,10464,19,12,80,84,489,1486,2297,3960,860,1152,1444,1952,0,0,9540,8234,19,29,48,59
PUBLIC,2019 - 2020,Region X - Northern Mindanao,834,2462,3826,5840,1188,1549,3432,4656,0,0,11882,8085,110,81,45,58,812,2391,2949,4408,927,1135,3199,4439,0,0,9710,7093,88,56,59,80
PUBLIC,2019 - 2020,Region XI - Davao Region,574,1577,2554,4083,815,1149,3666,5209,0,0,12757,10232,5,2,61,78,541,1528,1818,3111,753,925,3309,5016,0,0,10967,9535,16,0,70,94
PUBLIC,2019 - 2020,Region XII - Soccsksargen,724,2096,6315,10067,1462,1932,1389,1731,0,0,12341,8335,82,72,119,155,777,2084,4999,7893,1337,1552,1605,2093,0,0,10891,7685,84,49,108,135
PUBLIC,2019 - 2020,CARAGA - CARAGA,604,1278,1745,2559,1184,1633,4097,4987,0,0,8998,6295,37,23,78,86,556,1252,1489,2164,980,1315,3502,4498,0,0,7841,5543,41,19,40,37
PUBLIC,2019 - 2020,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,356,522,942,1374,393,651,3468,4925,0,0,3193,3700,17,11,36,16,380,524,619,868,376,569,2528,3858,0,0,2224,2258,9,13,36,45
PUBLIC,2019 - 2020,CAR - Cordillera Administrative Region,327,847,1890,2271,625,930,1182,1349,34,4,2837,2051,49,28,18,28,286,701,1371,1786,581,717,924,1162,0,0,2579,2002,22,22,20,21
PUBLIC,2019 - 2020,NCR - National Capital Region,2593,5483,3853,5244,3671,3700,3279,3019,0,0,12367,7987,206,67,290,297,2369,4802,2418,3579,3263,2949,3062,3003,0,0,10728,7254,132,51,243,318
PUBLIC,2020 - 2021,Region I - Ilocos Region,1402,4200,8433,9212,3982,4863,7185,7054,0,0,15559,11084,0,0,83,42,1262,3807,5831,6616,3086,3602,6059,6026,0,0,13878,10618,0,0,127,100
PUBLIC,2020 - 2021,Region II - Cagayan Valley,807,2492,7030,7646,2711,3790,5057,5191,0,0,7384,5268,120,57,71,47,820,2144,4918,5499,2146,2732,3944,4208,0,0,6981,5582,140,94,77,79
PUBLIC,2020 - 2021,Region III - Central Luzon,3987,9249,13119,15797,6820,7037,11317,10603,95,21,20913,14836,87,45,88,82,2997,7134,7681,10158,4910,4650,8265,8105,65,10,18536,13418,67,36,57,50
PUBLIC,2020 - 2021,Region IV-A - CALABARZON,5597,12258,18500,20409,6837,6947,3859,4258,57,13,22170,15071,134,69,173,152,4085,9381,11494,14342,4658,4446,3841,4303,54,12,19606,13587,138,58,243,238
PUBLIC,2020 - 2021,Region IV-B - MIMAROPA,807,2122,5020,6066,2121,2357,5691,6913,0,0,7469,5531,95,30,102,84,742,1799,3339,4220,1512,1661,4514,5799,0,0,7203,5885,100,66,119,116
PUBLIC,2020 - 2021,Region V - Bicol Region,1264,3428,3341,4735,2160,2740,16549,21366,36,1,15269,11583,93,34,232,221,1076,3069,2500,4004,1915,2261,11735,16289,28,7,15139,12112,86,57,234,287
PUBLIC,2020 - 2021,Region VI - Western Visayas,1827,5690,13083,18502,3725,4941,7503,8011,0,0,26835,18945,63,26,96,105,1638,5062,9770,14413,2843,3730,6102,6585,0,0,23127,17552,101,52,98,130
PUBLIC,2020 - 2021,Region VII - Central Visayas,1619,4132,6913,11019,2634,3165,12833,14786,29,2,19458,14215,112,70,135,123,1170,3362,4814,7893,2000,2472,9481,11392,14,1,17990,14021,76,67,173,162
PUBLIC,2020 - 2021,Region VIII - Eastern Visayas,1267,3143,7770,10534,1922,2460,8678,10724,0,0,14063,11230,65,61,23,27,1026,2548,5688,7814,1447,1671,7079,8898,0,0,13574,11113,54,51,37,58
PUBLIC,2020 - 2021,Region IX - Zamboanga Peninsula,714,1850,4783,8047,1430,2103,2279,2934,0,0,12117,10273,42,19,37,41,559,1618,2769,5054,992,1563,1202,1725,0,0,10928,9420,29,16,72,79
PUBLIC,2020 - 2021,Region X - Northern Mindanao,991,2900,5414,8668,1712,2271,4253,5878,0,0,11226,7180,54,37,26,24,841,2464,3664,5815,1238,1614,3134,4261,0,0,10384,7441,102,81,54,57
PUBLIC,2020 - 2021,Region XI - Davao Region,695,2014,3688,5889,1292,1649,5609,8008,0,0,13625,11024,6,1,36,34,479,1366,2362,3894,774,1093,3255,4800,0,0,10997,9250,4,2,35,53
PUBLIC,2020 - 2021,Region XII - Soccsksargen,959,2698,9371,14872,2082,2975,1155,1705,0,0,12347,8033,83,21,120,144,686,2068,6148,9859,1480,1988,1089,1445,0,0,10953,7756,92,75,89,128
PUBLIC,2020 - 2021,CARAGA - CARAGA,598,1403,2739,4016,1646,2284,5499,6757,0,0,8821,6147,15,2,80,93,602,1280,1733,2609,1199,1646,3853,4923,0,0,8228,6024,30,24,72,86
PUBLIC,2020 - 2021,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,368,430,1136,1566,470,705,4144,5873,0,0,3463,3444,19,9,13,8,311,471,931,1234,336,549,3085,4474,0,0,2818,3337,14,8,35,17
PUBLIC,2020 - 2021,CAR - Cordillera Administrative Region,378,895,2949,3595,760,1265,1384,1544,19,2,3346,2304,37,32,19,27,305,830,1877,2374,623,962,1137,1295,33,4,2557,1993,45,23,18,20
PUBLIC,2020 - 2021,NCR - National Capital Region,3879,7433,5828,7100,5321,5159,4060,3623,0,0,13123,8576,199,75,252,255,2480,5253,3484,4970,3539,3553,2865,2703,0,0,10581,7352,147,62,252,275
PRIVATE,2016 - 2017,Region I - Ilocos Region,1265,3598,840,1145,3248,2726,2661,2744,178,0,3217,2636,0,0,2,5,,,,,,,,,,,,,,,,
PRIVATE,2016 - 2017,Region II - Cagayan Valley,815,2380,795,1035,2279,2097,2038,2048,176,12,1259,1005,4,7,11,14,,,,,,,,,,,,,,,,
PRIVATE,2016 - 2017,Region III - Central Luzon,5986,13819,2894,4751,11831,8517,4438,5072,170,5,13562,12155,38,18,66,79,,,,,,,,,,,,,,,,
PRIVATE,2016 - 2017,Region IV-A - CALABARZON,8748,21889,4457,7903,19804,13790,6987,7381,67,3,19630,17655,131,32,233,313,,,,,,,,,,,,,,,,
PRIVATE,2016 - 2017,Region IV-B - MIMAROPA,391,1074,355,448,827,701,1719,1843,122,11,1545,1587,1,0,0,0,,,,,,,,,,,,,,,,
PRIVATE,2016 - 2017,Region V - Bicol Region,1149,3034,507,869,1915,1395,2017,2460,126,6,4339,4128,30,20,52,54,,,,,,,,,,,,,,,,
PRIVATE,2016 - 2017,Region VI - Western Visayas,1392,4393,1040,1741,4246,3931,2606,3012,977,25,4664,4564,2,2,86,118,,,,,,,,,,,,,,,,
PRIVATE,2016 - 2017,Region VII - Central Visayas,2043,5889,917,2389,6126,4966,4345,5796,877,41,7789,6275,20,36,103,165,,,,,,,,,,,,,,,,
PRIVATE,2016 - 2017,Region VIII - Eastern Visayas,579,1520,613,1188,1211,1153,1101,1254,0,0,2310,2174,0,0,0,0,,,,,,,,,,,,,,,,
PRIVATE,2016 - 2017,Region IX - Zamboanga Peninsula,668,1846,652,1060,1841,2077,1133,1626,39,5,3507,3184,0,1,4,10,,,,,,,,,,,,,,,,
PRIVATE,2016 - 2017,Region X - Northern Mindanao,1456,3538,968,1842,3072,2267,2116,2683,0,0,3319,3014,5,0,22,48,,,,,,,,,,,,,,,,
PRIVATE,2016 - 2017,Region XI - Davao Region,1476,3872,1399,2705,3253,3036,2106,2435,34,2,6577,5784,0,0,23,26,,,,,,,,,,,,,,,,
PRIVATE,2016 - 2017,Region XII - Soccsksargen,1182,2776,1410,2404,2480,2335,1233,1524,0,0,3990,2619,15,11,5,10,,,,,,,,,,,,,,,,
PRIVATE,2016 - 2017,CARAGA - CARAGA,603,1628,685,1037,1091,892,888,1361,0,0,2479,2161,2,0,14,18,,,,,,,,,,,,,,,,
PRIVATE,2016 - 2017,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,422,557,406,678,482,491,857,1527,0,0,707,910,0,0,0,0,,,,,,,,,,,,,,,,
PRIVATE,2016 - 2017,CAR - Cordillera Administrative Region,486,1532,910,1345,2103,2246,689,843,0,0,1648,1373,17,3,30,42,,,,,,,,,,,,,,,,
PRIVATE,2016 - 2017,NCR - National Capital Region,13380,26716,5679,9654,22547,15279,7168,8248,75,5,22225,19649,384,177,551,962,,,,,,,,,,,,,,,,
PRIVATE,2017 - 2018,Region I - Ilocos Region,1227,3334,1153,1617,3079,2733,2258,2332,300,21,3110,2175,0,0,7,9,1121,3221,765,1097,3003,2610,2236,2431,188,9,2833,2336,0,0,3,5
PRIVATE,2017 - 2018,Region II - Cagayan Valley,913,2137,1278,1561,1713,1955,1765,1876,180,13,1329,928,7,2,24,12,713,1937,750,990,1840,1725,1634,1687,154,11,1071,917,5,3,1,0
PRIVATE,2017 - 2018,Region III - Central Luzon,5990,13266,4665,6784,9978,8342,6265,6158,542,28,15271,12848,12,7,106,81,5182,12354,2590,4270,10459,7607,3878,4547,172,8,11755,10439,17,14,65,62
PRIVATE,2017 - 2018,Region IV-A - CALABARZON,9813,21033,7699,11083,17773,13457,7862,7477,209,2,20229,16956,97,17,235,317,7775,20161,4234,7628,17806,12687,6037,6374,67,3,17037,15165,104,26,221,309
PRIVATE,2017 - 2018,Region IV-B - MIMAROPA,447,1144,553,798,863,730,1553,1788,319,27,1999,1764,2,1,0,0,326,961,277,375,710,603,1381,1470,118,11,1371,1369,0,0,0,0
PRIVATE,2017 - 2018,Region V - Bicol Region,1083,3040,680,1212,1966,1658,2633,2936,221,8,4357,4045,23,14,23,32,1017,2681,482,792,1776,1393,1774,2264,126,8,3716,3483,25,19,50,49
PRIVATE,2017 - 2018,Region VI - Western Visayas,1409,4662,1421,2622,4599,4432,2523,2648,2000,37,4077,4126,7,5,111,138,1280,4023,925,1599,3858,3794,2135,2562,1353,35,3675,3869,2,2,77,111
PRIVATE,2017 - 2018,Region VII - Central Visayas,1816,5865,1452,3860,6969,5998,4661,5242,1636,75,6643,6740,1,1,99,159,1581,5132,875,2236,5450,4444,3752,5097,453,28,6112,6136,1,2,68,111
PRIVATE,2017 - 2018,Region VIII - Eastern Visayas,611,1423,771,1321,1417,1354,1019,1267,0,0,2175,1892,0,0,0,0,534,1441,530,994,1145,1104,946,1108,0,0,2039,1883,0,0,0,0
PRIVATE,2017 - 2018,Region IX - Zamboanga Peninsula,527,1414,940,1596,1492,1807,1510,1725,13,0,3198,2942,0,0,4,6,556,1485,605,976,1320,1516,964,1421,30,3,2770,2523,0,0,4,17
PRIVATE,2017 - 2018,Region X - Northern Mindanao,1279,3264,1320,2289,2394,2246,2385,2679,432,18,3621,3311,5,2,17,30,1267,3161,835,1715,2334,1995,1816,2279,259,23,2700,2452,0,0,21,45
PRIVATE,2017 - 2018,Region XI - Davao Region,1730,3785,2103,3560,2514,2853,2317,2543,123,9,6333,4834,0,0,25,40,1177,3144,1131,2206,2265,2258,1807,2183,95,7,5060,4515,0,0,23,24
PRIVATE,2017 - 2018,Region XII - Soccsksargen,1067,2623,2184,3257,2242,2317,1430,1686,0,0,3777,2345,12,4,2,5,1040,2485,1125,2075,2228,2175,1084,1257,0,0,2873,1932,10,9,5,9
PRIVATE,2017 - 2018,CARAGA - CARAGA,560,1373,903,1309,684,802,1189,1275,23,0,2143,1960,3,0,9,9,531,1504,548,921,972,870,691,1009,0,0,2054,1753,0,0,17,15
PRIVATE,2017 - 2018,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,177,272,585,687,349,517,895,1345,0,0,630,722,0,0,0,0,209,273,311,512,291,355,698,1120,0,0,605,644,0,0,0,0
PRIVATE,2017 - 2018,CAR - Cordillera Administrative Region,703,1726,1538,1912,1971,2321,601,588,0,0,1679,1230,12,4,18,33,452,1446,854,1297,1935,2156,551,682,0,0,1391,1220,13,2,25,39
PRIVATE,2017 - 2018,NCR - National Capital Region,14116,25958,8292,12048,20375,15142,8058,8419,290,11,21448,18851,230,109,495,1015,10170,21129,4295,7369,17168,11885,6078,6518,65,3,18943,16612,215,113,405,645
PRIVATE,2018 - 2019,Region I - Ilocos Region,959,3162,1884,2299,3402,3238,2076,1778,289,15,2933,2034,0,0,3,4,1130,3116,1078,1562,2888,2632,2116,2080,194,8,2672,1892,0,0,4,9
PRIVATE,2018 - 2019,Region II - Cagayan Valley,861,2210,1856,1955,2244,2606,1326,1250,202,8,947,635,9,5,7,12,846,2073,1339,1587,1878,2205,1578,1638,163,11,1094,828,6,3,20,12
PRIVATE,2018 - 2019,Region III - Central Luzon,6296,13514,6932,9352,10865,9323,6204,5759,350,16,14204,11062,80,33,128,133,5477,12608,4397,6512,9664,8199,5707,5655,440,18,13582,11242,6,7,127,93
PRIVATE,2018 - 2019,Region IV-A - CALABARZON,9583,21557,11355,14751,18222,15355,6819,5668,333,12,20357,16428,116,49,253,367,8813,19739,7363,10685,16614,12774,6504,6194,146,3,17679,14807,99,38,219,314
PRIVATE,2018 - 2019,Region IV-B - MIMAROPA,410,1240,828,1025,992,979,1203,1181,471,48,1704,1440,0,0,0,0,373,1115,479,741,924,828,1489,1649,308,28,1765,1558,0,0,0,0
PRIVATE,2018 - 2019,Region V - Bicol Region,1016,2913,1141,1655,2254,2052,2703,3317,294,12,4092,3077,37,22,30,37,976,2859,710,1238,1981,1658,2383,2760,218,7,3923,3550,16,12,37,42
PRIVATE,2018 - 2019,Region VI - Western Visayas,1421,4535,2061,3482,4285,5094,2055,1891,2637,49,4105,3809,4,2,157,126,1341,4521,1374,2550,3916,4502,1995,1945,2302,45,3567,3649,9,5,108,137
PRIVATE,2018 - 2019,Region VII - Central Visayas,2209,6312,2773,5696,7697,6916,4247,3774,1441,71,7313,5756,0,0,138,200,1696,5574,1465,3795,6584,5750,3976,4467,730,41,6365,6103,1,1,80,133
PRIVATE,2018 - 2019,Region VIII - Eastern Visayas,649,1523,1211,1848,1474,1445,960,1080,0,0,2122,1730,0,0,0,0,545,1358,726,1312,1353,1305,893,1099,0,0,1986,1744,0,0,0,0
PRIVATE,2018 - 2019,Region IX - Zamboanga Peninsula,511,1380,1683,2326,1497,1952,1307,1511,12,0,2629,2128,0,0,0,2,526,1322,887,1491,1478,1785,1276,1540,0,0,2803,2557,0,0,4,4
PRIVATE,2018 - 2019,Region X - Northern Mindanao,1383,3343,2043,2991,2803,2823,2291,2334,563,18,3580,2833,1,0,22,30,1148,3026,1248,2222,2217,2081,1939,2346,466,18,3144,2906,6,8,17,24
PRIVATE,2018 - 2019,Region XI - Davao Region,1648,3664,2810,4301,3170,3656,1812,1954,202,22,6027,4423,0,0,30,39,1519,3500,2033,3535,2824,3284,1918,1963,116,9,5566,4351,0,0,18,36
PRIVATE,2018 - 2019,Region XII - Soccsksargen,866,2232,3331,4340,2105,2454,1058,1170,28,1,4095,2231,29,14,6,3,980,2507,2050,3083,2149,2259,1269,1440,0,0,3249,2019,10,4,2,5
PRIVATE,2018 - 2019,CARAGA - CARAGA,560,1384,1238,1724,841,959,975,902,145,3,1951,1530,0,0,8,10,523,1268,878,1271,656,793,975,1172,29,0,1833,1609,0,0,11,9
PRIVATE,2018 - 2019,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,293,423,1093,1257,608,1007,1159,1703,0,0,747,755,0,0,0,0,236,321,658,827,406,614,881,1432,0,0,586,734,0,0,0,0
PRIVATE,2018 - 2019,CAR - Cordillera Administrative Region,547,1396,2109,2504,2151,2392,384,389,0,0,1520,1076,24,13,18,30,628,1576,1389,1771,1879,2248,501,512,0,0,1420,1021,11,5,18,33
PRIVATE,2018 - 2019,NCR - National Capital Region,14293,26480,12219,16220,20816,16774,7283,7337,488,23,21546,17515,333,167,664,1185,12353,23154,6754,10552,17745,13651,6924,7084,247,10,18480,16418,146,78,471,857
PRIVATE,2019 - 2020,Region I - Ilocos Region,927,2733,2554,2736,3450,3554,1943,1527,201,8,2488,1696,0,0,9,4,876,2981,1780,2201,3231,3129,1867,1637,252,18,2590,1754,0,0,2,6
PRIVATE,2019 - 2020,Region II - Cagayan Valley,697,1748,2323,2225,2285,2803,1093,1084,103,3,826,516,5,3,12,14,779,1987,1648,1779,2183,2537,1199,1194,172,8,789,545,4,4,8,12
PRIVATE,2019 - 2020,Region III - Central Luzon,5994,12578,9324,11906,11559,10575,5123,4421,269,9,12439,8994,29,5,149,141,5670,12449,6224,8585,10312,8991,5339,5053,302,15,12264,9414,69,40,136,122
PRIVATE,2019 - 2020,Region IV-A - CALABARZON,8903,19404,15681,18359,19583,17047,5406,4341,263,22,18225,13686,111,51,225,330,8749,19924,10184,13826,17573,14889,5970,4842,310,11,17315,14064,106,41,230,351
PRIVATE,2019 - 2020,Region IV-B - MIMAROPA,394,1123,1216,1310,1006,1064,1203,1040,299,34,1365,1043,0,0,0,0,344,1163,772,962,978,947,1081,1105,401,53,1505,1239,2,0,0,0
PRIVATE,2019 - 2020,Region V - Bicol Region,882,2607,1666,2435,2544,2607,2960,3377,193,21,3913,2857,28,16,44,45,900,2746,1089,1578,2163,2015,2455,3039,286,12,3632,2774,31,22,27,35
PRIVATE,2019 - 2020,Region VI - Western Visayas,1441,4016,2930,4284,4825,5667,2086,1864,1907,34,3867,3084,2,1,91,83,1239,4220,1898,3236,4031,4930,1879,1699,2307,38,3478,3362,1,2,136,127
PRIVATE,2019 - 2020,Region VII - Central Visayas,2111,5703,3853,6860,7939,7426,3993,3329,1138,58,6482,4787,0,0,123,177,1946,5860,2628,5411,7289,6644,3746,3432,1053,47,6183,4937,0,0,123,196
PRIVATE,2019 - 2020,Region VIII - Eastern Visayas,641,1512,1489,2055,1489,1593,848,901,0,0,1834,1376,0,0,0,0,630,1519,1117,1715,1392,1391,897,971,0,0,1853,1539,0,0,0,0
PRIVATE,2019 - 2020,Region IX - Zamboanga Peninsula,497,1105,1978,2746,1853,2447,1221,1122,82,33,2490,1910,0,0,3,1,520,1377,1495,2056,1608,2132,1126,1372,14,1,2217,1840,0,0,2,1
PRIVATE,2019 - 2020,Region X - Northern Mindanao,1220,2827,2350,3289,2863,3152,2357,2370,380,15,3316,2329,0,0,20,27,1230,3114,1855,2785,2552,2653,1960,2094,485,17,3198,2512,0,0,20,34
PRIVATE,2019 - 2020,Region XI - Davao Region,1508,3485,3774,5487,3447,4214,1560,1676,158,10,6154,4386,0,0,20,35,1467,3466,2475,4025,3147,3663,1501,1593,183,20,5321,4020,0,0,27,30
PRIVATE,2019 - 2020,Region XII - Soccsksargen,891,2083,4378,5445,2460,3056,711,779,27,0,3479,1670,41,13,2,2,829,2108,3002,4007,2061,2388,754,866,25,1,3324,1851,6,3,6,3
PRIVATE,2019 - 2020,CARAGA - CARAGA,462,1131,1486,2010,978,1073,945,789,136,11,1813,1331,0,0,6,9,484,1247,1089,1607,812,936,823,822,125,2,1669,1310,0,0,6,10
PRIVATE,2019 - 2020,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,305,406,1515,1742,599,1066,1093,1597,0,0,764,777,0,0,0,0,282,402,1030,1257,568,974,1079,1586,0,0,639,682,0,0,0,0
PRIVATE,2019 - 2020,CAR - Cordillera Administrative Region,431,1032,2249,2585,2106,2707,427,383,0,0,1347,840,30,6,13,21,528,1326,1882,2297,2013,2288,427,438,0,0,1311,949,13,9,18,27
PRIVATE,2019 - 2020,NCR - National Capital Region,12420,22686,15147,19038,21106,17711,6306,5928,389,12,19057,15084,255,128,626,1042,11982,22680,10197,14032,18754,15020,6016,5712,412,23,18095,14795,159,120,535,918
PRIVATE,2020 - 2021,Region I - Ilocos Region,726,2003,2137,2217,2958,3460,1662,1276,57,3,1335,1066,0,0,0,0,833,2533,2311,2522,3325,3419,1672,1334,174,8,2213,1525,0,0,8,3
PRIVATE,2020 - 2021,Region II - Cagayan Valley,582,1273,1981,1843,2013,2566,1052,896,34,5,452,221,1,0,7,10,664,1677,2146,2141,2208,2708,904,882,92,2,653,442,5,1,8,14
PRIVATE,2020 - 2021,Region III - Central Luzon,4505,10167,7691,10013,10966,10550,3960,3634,138,6,7865,6051,15,5,99,105,5312,11487,8403,10974,10712,9875,4111,3579,229,8,10271,7344,20,8,137,132
PRIVATE,2020 - 2021,Region IV-A - CALABARZON,6735,15733,12941,15188,18345,16874,3850,3124,185,13,12414,10028,57,29,198,265,7552,17275,12854,15643,17601,15588,4390,3485,245,19,15136,11571,92,48,194,316
PRIVATE,2020 - 2021,Region IV-B - MIMAROPA,425,1166,1616,1743,1193,1117,870,748,148,20,871,644,1,0,0,0,349,1010,1106,1214,1014,1056,1016,851,259,33,1077,885,1,0,0,0
PRIVATE,2020 - 2021,Region V - Bicol Region,702,2108,1477,2255,2234,2417,2917,3311,78,6,2446,2101,6,3,32,30,821,2465,1527,2282,2410,2523,2643,3132,179,15,3386,2504,26,12,36,40
PRIVATE,2020 - 2021,Region VI - Western Visayas,1020,2844,2811,3761,4098,4939,1512,1324,774,16,2565,2198,0,0,50,70,1275,3743,2588,3892,4342,5264,1751,1642,1684,28,3288,2659,2,0,75,75
PRIVATE,2020 - 2021,Region VII - Central Visayas,1494,4376,3286,5607,7203,6999,2975,2598,463,17,3864,3040,0,0,86,111,1811,5155,3385,6297,7303,6961,3223,2784,891,42,5379,4094,0,0,101,146
PRIVATE,2020 - 2021,Region VIII - Eastern Visayas,410,1046,1420,1839,1515,1732,811,716,0,0,1244,934,0,0,0,0,579,1431,1357,1951,1439,1505,758,808,0,0,1639,1233,0,0,0,0
PRIVATE,2020 - 2021,Region IX - Zamboanga Peninsula,411,994,1949,2621,1737,2333,888,821,0,0,1809,1351,0,0,7,9,434,996,1733,2389,1729,2239,972,912,0,0,1892,1515,0,0,4,1
PRIVATE,2020 - 2021,Region X - Northern Mindanao,1004,2436,2461,3252,2713,3103,2189,2256,68,4,2630,1987,1,0,19,13,1136,2682,2111,3026,2648,2966,1912,2040,318,12,2887,2007,1,0,18,27
PRIVATE,2020 - 2021,Region XI - Davao Region,1080,2447,2978,4229,2738,3422,1242,1419,58,4,3494,2386,0,0,15,21,1270,3033,3238,4912,2725,3430,1311,1483,141,11,4864,3323,0,0,30,52
PRIVATE,2020 - 2021,Region XII - Soccsksargen,642,1539,3459,4016,2091,2581,660,694,16,0,2050,1069,0,0,4,5,824,1938,3759,4913,2269,2874,568,638,25,0,2838,1330,27,12,2,2
PRIVATE,2020 - 2021,CARAGA - CARAGA,292,771,1436,1702,836,1054,774,903,73,6,1433,1182,0,0,3,0,358,930,1270,1854,867,918,708,625,122,10,1641,1218,0,0,4,9
PRIVATE,2020 - 2021,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,308,396,1782,1872,704,1395,1320,1887,0,0,697,729,0,0,0,0,205,345,1352,1563,558,1030,943,1459,0,0,661,686,0,0,0,0
PRIVATE,2020 - 2021,CAR - Cordillera Administrative Region,345,873,1939,2068,1834,2490,384,346,0,0,926,549,10,6,16,24,399,978,2012,2340,1971,2562,364,338,0,0,1118,700,25,6,15,20
PRIVATE,2020 - 2021,NCR - National Capital Region,8970,17366,12479,15448,16978,15718,4412,4373,110,9,12017,10016,150,85,463,800,9793,18586,11852,15746,16359,13929,4948,5074,329,9,14923,12046,259,144,492,873
SUCsLUCs,2016 - 2017,Region I - Ilocos Region,93,272,128,228,414,478,49,93,0,0,481,418,0,0,17,15,,,,,,,,,,,,,,,,
SUCsLUCs,2016 - 2017,Region II - Cagayan Valley,11,91,17,53,110,115,24,56,0,0,197,186,1,5,9,6,,,,,,,,,,,,,,,,
SUCsLUCs,2016 - 2017,Region III - Central Luzon,213,729,261,525,1052,961,227,390,0,0,972,657,0,0,0,0,,,,,,,,,,,,,,,,
SUCsLUCs,2016 - 2017,Region IV-A - CALABARZON,93,243,131,225,563,453,35,34,0,0,284,158,0,0,0,0,,,,,,,,,,,,,,,,
SUCsLUCs,2016 - 2017,Region IV-B - MIMAROPA,176,515,116,260,463,433,30,58,0,0,558,425,0,0,0,0,,,,,,,,,,,,,,,,
SUCsLUCs,2016 - 2017,Region V - Bicol Region,86,205,76,156,243,280,50,73,0,0,158,75,0,0,0,0,,,,,,,,,,,,,,,,
SUCsLUCs,2016 - 2017,Region VI - Western Visayas,37,133,73,196,305,274,87,71,0,0,257,168,0,0,0,0,,,,,,,,,,,,,,,,
SUCsLUCs,2016 - 2017,Region VII - Central Visayas,45,187,82,223,167,161,54,80,0,0,740,574,0,0,0,0,,,,,,,,,,,,,,,,
SUCsLUCs,2016 - 2017,Region VIII - Eastern Visayas,112,326,144,298,560,458,197,371,0,0,361,225,0,0,0,0,,,,,,,,,,,,,,,,
SUCsLUCs,2016 - 2017,Region IX - Zamboanga Peninsula,19,83,137,285,259,348,122,291,0,0,510,351,23,28,0,0,,,,,,,,,,,,,,,,
SUCsLUCs,2016 - 2017,Region X - Northern Mindanao,118,396,279,513,774,853,358,215,0,0,476,473,8,3,0,0,,,,,,,,,,,,,,,,
SUCsLUCs,2016 - 2017,Region XI - Davao Region,32,75,53,105,58,59,0,0,0,0,35,43,0,0,0,0,,,,,,,,,,,,,,,,
SUCsLUCs,2016 - 2017,Region XII - Soccsksargen,59,157,89,175,314,376,118,77,0,0,274,168,18,31,0,0,,,,,,,,,,,,,,,,
SUCsLUCs,2016 - 2017,CARAGA - CARAGA,14,24,21,68,107,204,2,25,0,0,349,276,0,0,0,0,,,,,,,,,,,,,,,,
SUCsLUCs,2016 - 2017,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,68,135,200,384,285,489,99,145,0,0,132,320,0,0,0,0,,,,,,,,,,,,,,,,
SUCsLUCs,2016 - 2017,CAR - Cordillera Administrative Region,15,70,106,250,107,152,6,13,0,0,225,200,21,31,0,0,,,,,,,,,,,,,,,,
SUCsLUCs,2016 - 2017,NCR - National Capital Region,886,2746,601,1497,2145,1870,293,613,0,0,1950,1520,68,27,107,192,,,,,,,,,,,,,,,,
SUCsLUCs,2017 - 2018,Region I - Ilocos Region,146,442,267,516,466,643,42,65,0,0,677,599,0,0,6,4,81,268,116,223,428,468,52,89,0,0,389,360,0,0,17,14
SUCsLUCs,2017 - 2018,Region II - Cagayan Valley,16,59,18,39,66,101,11,22,0,0,74,75,4,5,0,0,10,84,15,45,103,106,19,58,0,0,119,110,0,4,10,5
SUCsLUCs,2017 - 2018,Region III - Central Luzon,240,600,241,451,723,643,183,262,0,0,853,611,0,0,0,0,139,527,186,416,896,845,181,285,0,0,789,511,0,0,0,0
SUCsLUCs,2017 - 2018,Region IV-A - CALABARZON,119,409,145,330,541,520,57,149,0,0,397,235,0,0,0,0,59,202,112,213,573,482,36,39,0,0,204,111,0,0,0,0
SUCsLUCs,2017 - 2018,Region IV-B - MIMAROPA,167,445,246,374,324,344,56,131,0,0,546,319,0,0,0,0,119,450,111,240,332,326,24,31,0,0,391,339,0,0,0,0
SUCsLUCs,2017 - 2018,Region V - Bicol Region,73,178,69,132,178,235,78,128,0,0,287,139,0,0,0,0,82,201,69,142,235,269,43,62,0,0,144,66,0,0,0,0
