Sector,Year,Region,11 ABM MALE,11 ABM FEMALE,11 HUMMS MALE,11 HUMMS FEMALE,11 STEM MALE,11 STEM FEMALE,11 GAS MALE,11 GAS FEMALE,11 MARITIME MALE,11 MARITIME FEMALE,11 TVL MALE,11 TVL FEMALE,11 SPORTS MALE,11 SPORTS FEMALE,11 ARTS&DESIGN MALE,11 ARTS&DESIGN FEMALE,12 ABM MALE,12 ABM FEMALE,12 HUMMS MALE,12 HUMMS FEMALE,12 STEM MALE,12 STEM FEMALE,12 GAS MALE,12 GAS FEMALE,12 MARITIME MALE,12 MARITIME FEMALE,12 TVL MALE,12 TVL FEMALE,12 SPORTS MALE,12 SPORTS FEMALE,12 ARTS&DESIGN MALE,12 ARTS&DESIGN FEMALE
SUCsLUCs,2019 - 2020,Region IV-B - MIMAROPA,129,371,157,323,309,382,51,67,0,0,341,262,0,0,0,0,130,380,174,381,285,337,53,68,0,0,419,360,0,0,0,0
SUCsLUCs,2019 - 2020,Region V - Bicol Region,33,80,112,173,150,174,58,94,0,0,194,80,0,0,0,0,54,147,97,163,168,197,34,80,0,0,188,93,0,0,0,0
SUCsLUCs,2019 - 2020,Region VI - Western Visayas,34,106,26,90,83,130,0,0,0,0,30,38,0,0,0,0,45,124,74,156,176,239,14,34,0,0,298,241,0,0,0,0
SUCsLUCs,2019 - 2020,Region VII - Central Visayas,12,68,38,88,23,43,29,48,48,2,37,64,0,0,0,0,21,108,63,137,161,196,20,33,42,0,170,191,0,0,0,0
SUCsLUCs,2019 - 2020,Region VIII - Eastern Visayas,43,125,94,153,255,298,16,42,0,0,34,14,0,0,0,0,58,163,82,148,226,271,16,40,0,0,82,80,0,0,0,0
SUCsLUCs,2019 - 2020,Region IX - Zamboanga Peninsula,35,108,125,215,166,233,68,80,0,0,257,143,0,0,0,0,69,172,141,247,163,251,69,131,31,0,421,299,0,0,0,0
SUCsLUCs,2019 - 2020,Region X - Northern Mindanao,84,203,221,405,421,567,91,174,0,0,128,140,0,0,0,0,88,218,139,237,347,468,100,166,0,0,134,184,0,0,0,0
SUCsLUCs,2019 - 2020,Region XI - Davao Region,13,45,21,13,0,0,16,50,0,0,4,4,0,0,0,0,9,24,7,26,0,0,11,29,0,0,18,13,0,0,0,0
SUCsLUCs,2019 - 2020,Region XII - Soccsksargen,26,75,143,164,245,301,31,43,0,0,21,19,0,0,0,0,21,62,103,164,226,258,41,49,0,0,19,15,0,0,0,0
SUCsLUCs,2019 - 2020,CARAGA - CARAGA,0,0,0,0,84,122,0,0,0,0,20,46,0,0,0,0,0,0,0,0,66,108,0,0,0,0,31,51,0,0,0,0
SUCsLUCs,2019 - 2020,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,109,222,121,312,486,842,290,449,0,0,181,245,16,14,0,0,116,159,121,244,274,533,192,303,0,0,191,232,6,23,0,0
SUCsLUCs,2019 - 2020,CAR - Cordillera Administrative Region,13,63,121,187,118,156,28,77,0,0,300,250,0,0,0,0,14,72,145,246,143,187,13,33,0,0,319,202,0,0,0,0
SUCsLUCs,2019 - 2020,NCR - National Capital Region,527,1749,666,1281,1381,1444,57,118,0,0,945,680,38,5,140,177,594,1694,579,1110,1214,1218,89,193,0,0,1325,1087,39,17,121,171
SUCsLUCs,2020 - 2021,Region I - Ilocos Region,26,61,119,138,173,258,0,0,0,0,132,97,0,0,0,0,38,110,117,195,179,283,13,18,0,0,182,207,0,0,11,11
SUCsLUCs,2020 - 2021,Region II - Cagayan Valley,0,0,0,0,131,175,0,0,0,0,13,5,0,0,0,0,0,0,0,0,100,185,0,0,0,0,30,21,0,0,0,0
SUCsLUCs,2020 - 2021,Region III - Central Luzon,172,445,218,391,417,464,106,131,0,0,222,188,0,0,0,0,196,508,281,485,535,512,124,150,0,0,481,367,0,0,0,0
SUCsLUCs,2020 - 2021,Region IV-A - CALABARZON,172,514,262,393,776,875,12,25,0,0,263,150,0,0,0,0,173,444,275,515,850,745,15,32,0,0,264,135,0,0,0,0
SUCsLUCs,2020 - 2021,Region IV-B - MIMAROPA,85,177,65,82,189,256,32,45,0,0,63,73,0,0,0,0,123,363,147,282,265,326,54,63,0,0,148,141,0,0,0,0
SUCsLUCs,2020 - 2021,Region V - Bicol Region,36,74,59,144,104,116,23,68,0,0,133,38,0,0,0,0,30,77,91,131,147,173,46,82,0,0,180,79,0,0,0,0
SUCsLUCs,2020 - 2021,Region VI - Western Visayas,42,68,28,58,87,118,0,0,0,0,7,8,0,0,0,0,33,108,24,87,79,128,0,0,0,0,30,35,0,0,0,0
SUCsLUCs,2020 - 2021,Region VII - Central Visayas,14,59,21,74,37,64,37,35,39,1,45,34,0,0,0,0,10,63,32,77,23,49,25,39,45,2,35,63,0,0,0,0
SUCsLUCs,2020 - 2021,Region VIII - Eastern Visayas,51,119,119,173,266,310,16,54,0,0,37,29,0,0,0,0,42,123,85,144,253,303,15,40,0,0,34,15,0,0,0,0
SUCsLUCs,2020 - 2021,Region IX - Zamboanga Peninsula,7,28,121,160,82,91,0,0,0,0,96,69,0,0,0,0,36,101,162,259,170,221,16,19,0,0,198,127,0,0,0,0
SUCsLUCs,2020 - 2021,Region X - Northern Mindanao,88,211,293,418,532,669,68,137,0,0,124,128,0,0,0,0,84,194,206,381,418,567,50,146,0,0,118,132,0,0,0,0
SUCsLUCs,2020 - 2021,Region XI - Davao Region,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,43,17,10,0,0,14,45,0,0,2,4,0,0,0,0
SUCsLUCs,2020 - 2021,Region XII - Soccsksargen,21,37,52,97,244,356,0,0,0,0,15,18,0,0,0,0,20,73,120,142,244,302,23,37,0,0,25,17,0,0,0,0
SUCsLUCs,2020 - 2021,CARAGA - CARAGA,0,0,0,0,82,135,0,0,0,0,29,18,0,0,0,0,0,0,0,0,83,120,0,0,0,0,13,39,0,0,0,0
SUCsLUCs,2020 - 2021,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,102,135,116,260,409,717,457,748,0,0,182,271,16,6,0,0,125,220,156,353,471,822,261,429,0,0,207,263,15,13,0,0
SUCsLUCs,2020 - 2021,CAR - Cordillera Administrative Region,9,48,119,150,133,182,17,29,0,0,158,120,0,0,0,0,9,62,110,179,119,146,28,77,0,0,285,231,0,0,0,0
SUCsLUCs,2020 - 2021,NCR - National Capital Region,375,987,471,873,897,973,19,27,0,0,478,423,20,11,49,103,515,1697,619,1218,1384,1455,51,108,0,0,905,692,34,7,86,130
